OTU ID	AJ414	AP114	AS114	AT414	JJ114	JJ415	JJ515	JP315	JP414	JP515	JS115	JS415	JT115	JT314	JT415	OJ415	OJ514	OJ515	OJ615	OP315	OP515	OP614	OP615	OS115	OS214	OS415	OS615	OT115	OT414	OT415	OT515	Taxonomy	Taxon	Taxon Level	Trophic Mode	Guild	Confidence Ranking	Growth Morphology	Trait	Notes	Citation/Source
OTU13	602	198	0	1374	639	274	314	26	77	49	10	31	41	608	23	724	1271	731	233	58	351	62	168	46	75	312	55	399	231	642	357	GSL|100.0|HE672155|SH216785.07FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Pleosporaceae,g:Ulocladium,s:Ulocladium dauci	Ulocladium	13	Pathotroph	Plant Pathogen	Probable	NULL	NULL	NULL	Tedersoo L, et al. 2014. Science 346:1256688 (doi:10.1126/science.1256688)
OTU22	1689	138	0	481	571	1835	1133	23	163	17	0	0	756	348	372	438	138	281	235	0	0	22	9	0	16	0	0	26	296	0	48	GS|99.5|HF947037|SH205426.07FU;k:Fungi	-	-	-	-	-	-	-	Unassigned	-
OTU17	225	275	0	187	1568	391	348	13	76	45	0	8	121	1834	208	441	1401	262	76	34	133	83	115	28	54	90	0	127	455	72	105	GSL|100.0|KP276616|SH216250.07FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Capnodiales,f:Cladosporiaceae	Cladosporiaceae	9	Pathotroph-Saprotroph-Symbiotroph	Animal Pathogen-Endophyte-Lichen Parasite-Plant Pathogen-Wood Saprotroph	Possible	Microfungus	NULL	NULL	Seehann G, et al. 1975. List of Fungi in Soft-Rot Tissue Tests. Institute fur Holzbiologie und Holzschutz, Bundesforschungsanstalt fur Forst - und Holzwirtshaft, Hamburg - Lohbrugge, Germany; Lawrey JD, Diederich P. 2016. URL: http://www.lichenicolous.net [24 May 2017]; http://www.apsnet.org/publications/commonnames/Pages/default.aspx
OTU14	41	64	6734	66	0	15	0	0	223	0	0	183	0	53	24	0	0	0	0	0	0	46	0	0	0	77	34	19	245	186	0	GSL|100.0|JX188118|SH206549.07FU;k:Fungi,p:Basidiomycota,c:Tremellomycetes,o:Filobasidiales,f:Filobasidiaceae,g:Naganishia	-	-	-	-	-	-	-	Unassigned	-
OTU34	11	1582	11	714	20	21	19	48	1032	36	10	19	466	977	144	7	8	10	0	5	0	95	11	10	421	23	0	51	1279	15	14	GS|97.3|KF222159|SH221826.07FU;k:Fungi,p:Ascomycota	-	-	-	-	-	-	-	Unassigned	-
OTU221	0	400	0	0	0	0	0	32	42	36	504	1333	0	0	0	0	0	0	0	179	59	411	93	1243	39	2000	198	0	0	0	0	GSL|99.5|KF861793|SH206551.07FU;k:Fungi,p:Basidiomycota,c:Tremellomycetes,o:Filobasidiales,f:Filobasidiaceae,g:Naganishia	-	-	-	-	-	-	-	Unassigned	-
OTU15	879	0	102	10	16	13	10	161	0	16	774	326	79	35	166	6	28	5	0	826	56	0	102	533	0	267	200	84	32	505	294	GS|100.0|KT809099|SH197511.07FU;k:Fungi,p:Basidiomycota,c:Tremellomycetes,o:Tremellales,f:Bulleribasidiaceae,g:Vishniacozyma,s:Vishniacozyma victoriae	Tremellales	7	Pathotroph-Saprotroph-Symbiotroph	Fungal Parasite-Undefined Saprotroph	Possible	Tremelloid-Yeast	NULL	The order contains both teleomorphic and anamorphic species, most of the latter being yeasts	Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158
OTU16	0	296	4142	0	0	0	0	15	222	14	219	192	7	0	0	0	0	0	0	23	89	118	21	54	0	24	0	0	0	0	0	GS|98.4|HF558647|SH471007.07FU;k:Fungi,p:Basidiomycota,c:Tremellomycetes,o:Cystofilobasidiales,f:Mrakiaceae,g:Phaffia	-	-	-	-	-	-	-	Unassigned	-
OTU31	0	0	74	0	0	0	0	0	0	0	116	82	31	0	7	0	0	0	0	0	0	0	0	186	4616	206	0	0	0	0	0	US|0.3693|KF309947|SH017208.07FU;k:Fungi,p:Ascomycota	-	-	-	-	-	-	-	Unassigned	-
OTU21	0	1588	0	42	13	40	6	185	2511	73	0	0	54	34	10	0	0	0	0	10	14	90	55	0	0	0	0	0	0	0	0	GS|100.0|KF222436|SH221826.07FU;k:Fungi,p:Ascomycota	-	-	-	-	-	-	-	Unassigned	-
OTU36	102	42	0	964	122	1483	689	0	0	5	0	7	57	82	10	93	189	106	74	5	0	0	0	0	0	0	0	52	119	66	80	GS|100.0|KX611037|SH184176.07FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Sporormiaceae,g:Preussia,s:Preussia africana	Preussia	13	Saprotroph	Undefined Saprotroph	Probable	NULL	NULL	NULL	Tedersoo L, et al. 2014. Science 346:1256688
OTU18	53	29	0	241	211	1170	300	25	17	16	16	46	218	201	17	293	226	386	164	22	8	0	22	0	0	24	0	203	106	219	97	GSL|100.0|KF275143|SH186594.07FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales	-	-	-	-	-	-	-	Unassigned	-
OTU26	0	35	53	73	66	44	47	0	24	0	147	52	112	265	25	6	0	0	0	0	0	0	0	131	2817	164	0	12	144	0	0	GS|99.6|KF221938|SH221826.07FU;k:Fungi	-	-	-	-	-	-	-	Unassigned	-
OTU25	42	767	258	66	4	0	3	34	1004	36	34	13	91	81	55	0	5	0	0	6	16	776	17	9	90	10	0	11	476	5	3	GS|97.3|JX042759|SH020546.07FU;k:Fungi,p:Basidiomycota,c:Tremellomycetes,o:Tremellales	Tremellales	7	Pathotroph-Saprotroph-Symbiotroph	Fungal Parasite-Undefined Saprotroph	Possible	Tremelloid-Yeast	NULL	The order contains both teleomorphic and anamorphic species, most of the latter being yeasts	Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158
OTU20	63	857	7	173	75	68	137	5	117	16	0	0	42	311	145	16	101	25	9	5	10	1009	10	0	36	3	0	30	382	27	45	GSL|100.0|AY616207|SH206393.07FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Dothideales,f:Dothideaceae,g:Endoconidioma,s:Endoconidioma populi	Endoconidioma	13	Saprotroph	Undefined Saprotroph	Probable	NULL	NULL	NULL	Tedersoo L, et al. 2014. Science 346:1256688
OTU23	0	2003	0	126	0	0	6	25	802	19	0	0	31	110	17	0	0	3	0	4	6	211	7	0	21	0	0	6	93	0	0	US|1.0000|KF222159|SH221826.07FU;k:Fungi	-	-	-	-	-	-	-	Unassigned	-
OTU19	128	14	1639	21	5	0	0	11	0	12	37	14	24	60	44	40	123	26	0	18	23	0	8	50	50	7	10	262	57	438	175	GS|100.0|KC479054|SH197623.07FU;k:Fungi,p:Basidiomycota,c:Tremellomycetes,o:Filobasidiales,f:Filobasidiaceae,g:Filobasidium,s:Filobasidium magnum	Filobasidium	13	Saprotroph	Undefined Saprotroph	Highly Probable	Facultative Yeast	NULL	NULL	Kurtzman CP, et al. (eds.) 2011. The Yeasts, a Taxonomic Study. Fifth Edition. Vols 1-3. Elsevier, San Diego
OTU27	125	18	0	34	40	16	14	0	1969	10	20	10	4	169	2	4	7	3	0	0	6	121	87	130	12	37	14	207	21	106	89	GS|100.0|EU035472|SH219615.07FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Venturiales,f:Venturiaceae,g:Venturia	Venturia	13	Pathotroph	Plant Pathogen	Probable	NULL	NULL	NULL	Tedersoo L, et al. 2014. Science 346:1256688 (doi:10.1126/science.1256688)
OTU32	0	0	38	0	0	0	0	0	0	0	116	88	0	0	4	0	0	0	0	0	0	0	0	161	2474	192	0	0	0	0	0	GS|97.4|KF221878|SH221826.07FU;k:Fungi	-	-	-	-	-	-	-	Unassigned	-
OTU57	0	16	0	814	0	0	0	4	11	0	0	3	450	357	59	0	0	0	0	4	0	163	0	7	99	12	0	66	785	52	45	US|0.9890|KF274130|SH208579.07FU;k:Fungi	-	-	-	-	-	-	-	Unassigned	-
OTU1455	11	0	0	101	16	163	38	10	423	22	9	42	24	23	4	76	14	213	896	34	33	0	386	41	0	249	0	73	0	15	23	GS|99.4|EF505856|SH186594.07FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Didymellaceae	Didymellaceae	9	Pathotroph-Saprotroph	Animal Pathogen-Plant Pathogen-Undefined Saprotroph	Possible	Microfungus	NULL	NULL	Tedersoo L, et al. 2014. Science 346:1256688 (doi:10.1126/science.1256688)
OTU24	662	41	15	9	50	10	3	0	32	0	188	11	2	15	11	4	359	7	0	2	0	1255	20	76	6	7	7	10	36	7	5	GS|100.0|KM243309|SH190741.07FU;k:Fungi,p:Basidiomycota,c:Tremellomycetes,o:Holtermanniales,g:Holtermanniella,s:Holtermanniella wattica	-	-	-	-	-	-	-	Unassigned	-
OTU28	37	756	20	83	25	53	59	39	358	38	13	6	32	50	39	16	14	11	11	13	17	397	21	14	302	52	0	5	56	5	5	GS|100.0|JX136179|SH031614.07FU;k:Fungi,p:Ascomycota	-	-	-	-	-	-	-	Unassigned	-
OTU53	0	58	10	303	7	3	8	18	27	5	21	16	162	149	54	3	3	2	3	3	8	183	9	45	120	44	0	21	1197	29	28	US|0.9950|AY843125|SH017608.07FU;k:Fungi	-	-	-	-	-	-	-	Unassigned	-
OTU29	0	313	15	8	6	0	5	24	461	12	36	13	39	32	2	0	0	3	3	25	26	840	14	40	429	48	0	2	20	0	0	GS|98.7|KF222402|SH221826.07FU;k:Fungi	-	-	-	-	-	-	-	Unassigned	-
OTU64	173	9	0	31	46	443	88	0	0	4	0	0	13	0	16	384	315	387	316	0	0	0	3	0	0	0	0	12	32	4	8	US|0.9900|JF945217|SH183422.07FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales	-	-	-	-	-	-	-	Unassigned	-
OTU49	7	954	0	36	0	26	9	33	857	14	0	0	26	32	26	0	0	0	0	2	4	147	10	0	9	0	0	0	29	0	0	GS|98.5|KF221503|SH221826.07FU;k:Fungi	-	-	-	-	-	-	-	Unassigned	-
OTU35	6	58	0	46	407	276	274	8	8	5	2	8	91	475	18	129	55	97	43	20	5	0	4	0	0	0	0	43	33	11	17	GS|100.0|KT898697|SH186930.07FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Didymosphaeriaceae,g:Pseudopithomyces,s:Pseudopithomyces chartarum	Didymosphaeriaceae	9	Pathotroph-Saprotroph-Symbiotroph	Endophyte-Lichen Parasite-Plant Pathogen-Undefined Saprotroph	Probable	Microfungus	NULL	Saprobes in both woody and herbaceous material, also parasitic on other fungi (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge; Massimo NC, et al. 2015. Microbial Ecology 70:61-76
OTU84	4	23	5	177	8	7	9	3	21	6	7	2	212	297	88	4	15	6	3	2	3	45	1	5	93	12	0	44	965	18	24	GS|98.9|JX042970|SH208580.07FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Capnodiales	-	-	-	-	-	-	-	Unassigned	-
OTU30	0	207	0	9	0	14	4	13	43	8	0	0	13	0	3	0	0	4	0	29	28	1610	19	0	0	0	0	0	0	0	3	GS|97.9|JN905170|SH022043.07FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Capnodiales,f:Mycosphaerellaceae	Mycosphaerellaceae	9	Pathotroph-Saprotroph	Plant Pathogen-Undefined Saprotroph	Probable	Microfungus	NULL	Biotrophic, necrotrophic or saprobic on various plant tissues (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge
OTU55	1184	33	0	34	160	69	62	4	47	9	0	0	43	110	20	6	30	9	4	2	4	0	6	0	0	0	0	3	127	6	6	US|0.9998|KC965554|SH205786.07FU;k:Fungi	-	-	-	-	-	-	-	Unassigned	-
OTU45	519	18	0	79	222	366	205	4	78	0	0	0	101	135	31	24	23	27	30	0	4	0	0	0	0	0	0	4	61	2	3	SS|1.0000|KF221678|SH221826.07FU;k:Fungi	-	-	-	-	-	-	-	Unassigned	-
OTU38	0	9	0	308	0	11	0	1	23	0	7	8	235	384	64	0	5	2	0	0	0	8	0	17	181	16	0	29	618	5	3	US|0.9999|KF221789|SH221826.07FU;k:Fungi	-	-	-	-	-	-	-	Unassigned	-
OTU1096	9	12	0	240	29	72	46	42	58	95	46	26	184	20	23	82	35	126	178	79	47	5	74	64	9	42	32	78	22	60	84	GS|99.5|AY293801|SH186594.07FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Didymellaceae,g:Phoma	Phoma	13	Pathotroph-Saprotroph	Plant Pathogen-Wood Saprotroph	Possible	NULL	Soft Rot	NULL	Seehann G, et al. 1975. List of Fungi in Soft-Rot Tissue Tests. Institute fur Holzbiologie und Holzschutz, Bundesforschungsanstalt fur Forst - und Holzwirtshaft, Hamburg - Lohbrugge, Germany; Costa IPMW, et al. 2012. Mycotaxon 119:26; Tedersoo L, et al. 2014. Science 346:1256688
OTU33	0	710	0	39	0	0	3	35	244	16	0	0	12	19	4	0	0	0	0	9	10	732	14	0	3	2	0	6	25	0	4	US|0.7552|JN904316|SH022043.07FU;k:Fungi,p:Ascomycota	-	-	-	-	-	-	-	Unassigned	-
OTU41	61	12	0	258	12	44	76	0	30	0	0	0	170	189	131	25	17	12	0	0	0	0	0	0	0	0	0	33	715	25	17	GS|99.5|AY843047|SH206394.07FU;k:Fungi,p:Ascomycota,c:Dothideomycetes	-	-	-	-	-	-	-	Unassigned	-
OTU71	0	46	440	209	0	3	0	0	12	19	16	117	1	35	0	15	5	5	1	0	18	41	3	14	13	151	3	1	588	1	2	GS|99.5|KF221367|SH221826.07FU;k:Fungi,p:Basidiomycota,c:Tremellomycetes,o:Filobasidiales,f:Filobasidiaceae,g:Naganishia	-	-	-	-	-	-	-	Unassigned	-
OTU48	0	0	23	0	7	0	3	0	0	0	139	96	0	0	0	0	0	0	0	0	0	0	0	243	1041	167	0	0	27	0	0	GS|99.5|JN904617|SH212425.07FU;k:Fungi	-	-	-	-	-	-	-	Unassigned	-
OTU51	359	31	4	86	27	105	162	5	12	9	2	2	182	80	57	32	68	19	13	2	5	0	11	0	13	2	0	19	286	26	44	GS|99.5|KF222174|SH221826.07FU;k:Fungi	-	-	-	-	-	-	-	Unassigned	-
OTU37	1478	0	0	0	53	0	0	0	0	0	0	0	0	0	0	3	43	2	0	0	0	0	0	0	0	0	0	0	0	0	0	GS|100.0|JX043186|SH006634.07FU;k:Fungi,p:Ascomycota	-	-	-	-	-	-	-	Unassigned	-
OTU95	132	234	8	57	32	211	112	28	336	23	0	0	67	88	39	42	13	24	12	0	0	33	1	2	13	2	0	4	51	2	1	US|0.9916|JN905618|SH022043.07FU;k:Fungi	-	-	-	-	-	-	-	Unassigned	-
OTU39	356	0	0	49	153	62	5	0	0	3	0	0	509	63	0	4	102	3	0	0	27	0	0	0	0	35	0	14	27	63	15	GS|99.5|JX982369|SH469628.07FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Phaeosphaeriaceae,g:Neostagonospora	Phaeosphaeriaceae	9	Pathotroph-Saprotroph	Fungal Parasite-Plant Pathogen-Plant Saprotroph	Probable	Microfungus	NULL	Necrotrophic or saprobic on a wide range of plants, especially monocotyledons; a few species parasitic on other fungi (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge
OTU70	0	101	99	139	4	3	2	0	31	3	7	23	17	458	62	5	3	1	0	2	6	101	2	11	152	52	0	11	152	10	6	GS|100.0|KC561093|SH206392.07FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Dothideales,f:Dothioraceae,g:Sydowia,s:Sydowia polyspora	Sydowia	13	Saprotroph	Undefined Saprotroph	Probable	NULL	NULL	NULL	Tedersoo L, et al. 2014. Science 346:1256688
OTU68	0	0	0	175	0	0	2	0	0	0	0	0	6	108	1	0	0	0	0	0	0	0	0	0	0	0	0	7	1155	3	2	US|0.7825|KU195512|SH488583.07FU;k:Fungi,p:Ascomycota	-	-	-	-	-	-	-	Unassigned	-
OTU73	0	105	604	0	2	0	1	79	17	155	19	36	9	4	1	0	2	0	0	7	0	371	12	0	3	0	0	20	8	0	1	GS|99.5|JX188232|SH213407.07FU;k:Fungi,p:Basidiomycota,c:Microbotryomycetes,g:Curvibasidium,s:Curvibasidium rogersii	-	-	-	-	-	-	-	Unassigned	-
OTU47	0	0	24	17	0	0	7	0	0	0	109	79	3	0	0	2	0	5	0	0	0	0	0	87	966	127	0	0	0	0	0	GS|97.5|KM104091|SH493048.07FU;k:Fungi	-	-	-	-	-	-	-	Unassigned	-
OTU40	0	0	0	443	0	6	4	0	0	0	0	0	5	267	0	0	4	0	0	0	0	0	0	0	0	0	0	6	685	2	0	SS|0.5900|JX984717|SH017605.07FU;k:Fungi	-	-	-	-	-	-	-	Unassigned	-
OTU44	0	0	0	217	3	0	0	0	0	0	0	0	171	82	79	0	0	0	0	0	0	0	0	0	0	0	0	39	749	21	26	US|0.9779|AY843125|SH017608.07FU;k:Fungi	-	-	-	-	-	-	-	Unassigned	-
OTU42	25	29	0	91	195	198	246	1	4	2	0	2	23	36	9	88	196	103	47	4	4	0	4	0	0	0	0	26	38	10	3	GSL|100.0|KU850555|SH220112.07FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Pleosporaceae,g:Stemphylium	Stemphylium	13	Pathotroph-Saprotroph	Plant Pathogen-Wood Saprotroph	Highly Probable	NULL	Soft Rot	NULL	Duncan CG, Eslyn WE. 1966. Mycologia 58:642-664; Seehann G, et al. 1975. List of Fungi in Soft-Rot Tissue Tests. Institute fur Holzbiologie und Holzschutz, Bundesforschungsanstalt fur Forst - und Holzwirtshaft, Hamburg - Lohbrugge, Germany; Costa IPMW, et al. 2012. Mycotaxon 119:26; Tedersoo L, et al. 2014. Science 346:1256688; http://www.apsnet.org/publications/commonnames/Pages/default.aspx
OTU88	0	0	0	42	0	4	65	0	0	0	0	0	0	291	2	1	2	3	0	0	0	0	0	0	0	0	0	2	958	4	1	US|0.9939|KF617984|SH208599.07FU;k:Fungi	-	-	-	-	-	-	-	Unassigned	-
OTU61	34	20	0	38	83	205	81	8	20	9	0	8	39	124	5	43	297	102	35	4	10	0	17	3	0	10	0	45	52	30	28	GSL|100.0|JN688919|SH216783.07FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Pleosporaceae,g:Alternaria	Alternaria	13	Pathotroph-Saprotroph-Symbiotroph	Animal Pathogen-Endophyte-Plant Pathogen-Wood Saprotroph	Possible	Microfungus	Soft Rot	NULL	Duncan CG, Eslyn WE. 1966. Mycologia 58:642-664; Seehann G, et al. 1975. List of Fungi in Soft-Rot Tissue Tests. Institute fur Holzbiologie und Holzschutz, Bundesforschungsanstalt fur Forst - und Holzwirtshaft, Hamburg - Lohbrugge, Germany; Tedersoo L, et al. 2014. Science 346:125688
OTU43	41	0	0	31	91	562	284	0	0	0	0	0	28	26	4	29	63	48	30	0	0	0	2	0	0	0	0	7	49	9	18	GSL|100.0|DQ468028|SH184181.07FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Sporormiaceae,g:Sporormiella	Sporormiella	13	Saprotroph	Undefined Saprotroph	Probable	NULL	NULL	NULL	Tedersoo L, et al. 2014. Science 346:1256688
OTU78	12	148	3	75	1	7	14	6	115	13	1	3	85	162	33	0	11	1	0	1	5	156	5	4	51	4	0	9	334	7	7	GS|100.0|AY843202|SH206394.07FU;k:Fungi,p:Ascomycota,c:Dothideomycetes	-	-	-	-	-	-	-	Unassigned	-
OTU87	0	17	23	17	19	4	7	1	7	2	85	81	16	25	5	3	8	3	0	5	0	9	0	134	592	156	12	0	36	0	0	GS|98.8|KF309971|SH027329.07FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Capnodiales,f:Teratosphaeriaceae,g:Meristemomyces,s:Meristemomyces frigidus	-	-	-	-	-	-	-	Unassigned	-
OTU46	0	0	0	0	0	0	0	0	0	0	0	0	1	186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1078	0	0	SS|1.0000|LC204393|SH220112.07FU;k:Fungi	-	-	-	-	-	-	-	Unassigned	-
OTU65	0	0	0	49	0	0	0	0	0	0	0	0	1	223	0	0	0	0	0	0	0	0	0	0	0	0	0	1	940	0	0	US|0.6916|KF274421|SH193236.07FU;k:Fungi	-	-	-	-	-	-	-	Unassigned	-
OTU52	5	26	0	118	2	0	0	20	0	0	0	1	0	7	0	0	5	0	69	48	0	0	0	0	0	0	0	5	827	0	8	SS|0.8000|KF861793|SH206551.07FU;k:Fungi,p:Basidiomycota,c:Tremellomycetes,o:Filobasidiales,f:Filobasidiaceae,g:Naganishia,s:Naganishia globosa	-	-	-	-	-	-	-	Unassigned	-
OTU77	0	79	0	87	342	120	128	8	24	10	8	14	80	53	24	14	36	22	0	1	8	0	7	7	26	20	0	0	12	0	7	GS|100.0|KX611060|SH202166.07FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,g:Thyrostroma	Thyrostroma	13	Pathotroph	Plant Pathogen	Probable	Microfungus	NULL	NULL	Tedersoo L, et al. 2014. Science 346:1256688
OTU54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	8	4	0	0	0	0	0	0	0	0	0	0	1088	0	0	GS|100.0|AM269785|SH193355.07FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Polyporales,f:Fomitopsidaceae,g:Laetiporus,s:Laetiporus gilbertsonii	Laetiporus	13	Saprotroph	Wood Saprotroph	Highly Probable	Polyporoid	Brown Rot	NULL	Gilbertson RL, Ryvarden L. 1987-1987. North American Polypores. Fungiflora, Oslo
OTU86	71	294	0	24	0	13	10	2	172	14	0	0	54	25	15	2	2	1	1	10	8	318	3	0	0	0	0	5	36	1	5	GS|99.3|KY768252|SH223202.07FU;k:Fungi,p:Ascomycota	-	-	-	-	-	-	-	Unassigned	-
OTU62	0	11	0	305	0	0	0	2	9	0	0	0	227	142	51	0	0	0	0	0	0	6	0	0	0	0	0	33	256	21	19	US|0.9999|KM104120|SH497005.07FU;k:Fungi	-	-	-	-	-	-	-	Unassigned	-
